Наименование,Цена,Ссылка
"Кресло ""Престиж""",От 3600 руб.,http://mebel-saa.ru/ofisnye-stulya/item/796-kreslo-prestizh
"Стул ""ИЗО""",1800 руб.,http://mebel-saa.ru/ofisnye-stulya/item/795-stul-izo
