Наименование,Цена,Ссылка
"Кухонный уголок ""Консул-2""",10000 руб.,http://mebel-saa.ru/kukhonnye-ugolki/item/669-kukhonnyj-ugol-konsul-2
"Кухонный уголок ""Консул-1""",8000 руб.,http://mebel-saa.ru/kukhonnye-ugolki/item/668-kukhonnyj-ugolok-konsul-1
"Кухонный угол ""Консул 2-4 лайт""",9000 руб.,http://mebel-saa.ru/kukhonnye-ugolki/item/667-kukhonnyj-ugol-konsul-2-4-lajt
"Уголок ""Консул квадро"" со спальным местом",18500 руб.,http://mebel-saa.ru/kukhonnye-ugolki/item/666-ugolok-konsul-kvadro
