Наименование,Цена,Ссылка
"Матрас ""Lite""",От 4000 руб.,http://mebel-saa.ru/matracy/item/874-matras-lite
"Матрас ""Lite plus lux""",От 6000 руб.,http://mebel-saa.ru/matracy/item/873-matras-lite-plus-lux
"Матрас ""lite plus""",От 5000 руб.,http://mebel-saa.ru/matracy/item/872-matras-lite-plus
"Матрас ""Ecos""",От 7500 руб.,http://mebel-saa.ru/matracy/item/871-matras-ecos
"Матрас ""Active""",От 7000 руб.,http://mebel-saa.ru/matracy/item/870-matras-active
"Матрас ""Status""",От 7000 руб.,http://mebel-saa.ru/matracy/item/869-matras-status
