Наименование,Цена,Ссылка
"ШКАФ-КУПЕ ""ФРАНК""",12000 руб.,http://mebel-saa.ru/shkafy-kupe/item/802-shkaf-kupe-frank
"ШКАФ-КУПЕ ""ФАВОРИТ""",17000 руб.,http://mebel-saa.ru/shkafy-kupe/item/801-shkaf-kupe-favorit
"ШК-551 МС ""Бася"" (шкаф-купе)",11000 руб.,http://mebel-saa.ru/shkafy-kupe/item/800-shk-551-ms-basya-shkaf-kupe
"Шкафы-купэ  DOLAP (стандартные, угловые и индивидуальных размеров)",от 12700р руб.,http://mebel-saa.ru/shkafy-kupe/item/154-shkafy-kupe
